week,time,fav,spr,und,blank1,Anne ,Cate ,Donna ,Elliott,Francis,Franklona,Gabhandy,Gary,Joeanne,Jonathan,Leslie,Miles,Packy,Paul ,Roberta,Soblocoa,blank2,s_Anne ,s_Cate ,s_Donna ,s_Elliott,s_Francis,s_Franklona,s_Gabhandy,s_Gary,s_Joeanne,s_Jonathan,s_Leslie,s_Miles,s_Packy,s_Paul ,s_Roberta,s_Soblocoa
3,9/27 1:00 ET,DAL,0,ATL,,ATL 6,DAL 10,ATL 6,ATL 6,ATL 6,ATL 6,ATL 6,ATL 6,ATL 6,ATL 6,ATL 6,DAL 10,DAL 10,DAL 10,DAL 10,DAL 10,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 4:05 ET,ARI,-7,SF,,SF 10,SF 10,SF 10,ARI 6,ARI 6,SF 10,ARI 6,ARI 6,ARI 6,ARI 6,ARI 6,ARI 6,ARI 6,ARI 6,SF 10,SF 10,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 4:25 ET,SEA,-16,CHI,,SEA 2,CHI 14,SEA 2,CHI 14,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,SEA 2,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 4:25 ET,MIA,-1,BUF,,MIA 7,MIA 7,BUF 9,MIA 7,BUF 9,BUF 9,MIA 7,BUF 9,BUF 9,BUF 9,MIA 7,MIA 7,MIA 7,BUF 9,MIA 7,MIA 7,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 8:30 ET,DEN,-3,DET,,DEN 7,DET 9,DET 9,DET 9,DET 9,DET 9,DEN 7,DEN 7,DEN 7,DEN 7,DEN 7,DET 9,DEN 7,DET 9,DEN 7,DEN 7,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/28 8:30 ET,GB,-5.5,KC,,GB 2,GB 2,KC 14,GB 2,GB 2,KC 14,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,GB 2,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
4,10/1 8:25 ET,BAL,-3,PIT,,PIT 9,BAL 7,PIT 9,BAL 7,BAL 7,PIT 9,BAL 7,PIT 9,BAL 7,BAL 7,BAL 7,PIT 9,BAL 7,BAL 7,PIT 9,PIT 9,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4  9:30 ET,NYJ,-2.5,MIA,,MIA 10,NYJ 6,NYJ 6,MIA 10,NYJ 6,NYJ 6,NYJ 6,NYJ 6,NYJ 6,NYJ 6,MIA 10,NYJ 6,MIA 10,MIA 10,MIA 10,NYJ 6,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,IND,-4,JAC,,IND 3,IND 3,JAC 13,IND 3,IND 3,JAC 13,IND 3,IND 3,JAC 13,IND 3,IND 3,IND 3,IND 3,IND 3,IND 3,IND 3,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
4,10/4 1:00 ET,ATL,-4.5,HOU,,ATL 7,HOU 9,HOU 9,ATL 7,ATL 7,HOU 9,ATL 7,ATL 7,ATL 7,ATL 7,ATL 7,ATL 7,HOU 9,HOU 9,HOU 9,HOU 9,,159,153,166,93,171,188,186,195,191,181,151,139,167,173,111,158
